date,expression,meaning,explanation,example,example_translation,tip,CEFR_level,topic
2026-04-06,Παίρνω προαγωγή,To get a promotion,Advancing to a higher position within the company.,Ο Γιάννης πήρε προαγωγή και τώρα είναι διευθυντής τμήματος.,Giannis got a promotion and is now a department manager.,,B1,Office and Work
2026-04-06,Είναι μπάζο,He/She is very ugly / a mess,Literally 'rubble' or 'construction debris'. Highly derogatory slang for someone unattractive.,Τι βρήκε σε αυτήν; Είναι τελείως μπάζο.,What did he find in her? She is total rubble.,Very informal and mean; strictly used in tight gossip circles.,C1,Romantic gossip
2026-04-07,Πού είναι η τουαλέτα;,Where is the bathroom?,An essential phrase for any traveler.,"Συγγνώμη, πού είναι η τουαλέτα;","Excuse me, where is the bathroom?",,A1,Basic needs
2026-04-07,Έκλειψη,Eclipse,An obscuring of the light from one celestial body by the passage of another.,Αύριο θα έχουμε ολική έκλειψη ηλίου.,Tomorrow we will have a total solar eclipse.,,B2,Space and Astronomy
2026-04-07,Ορκωτός λογιστής,Certified public accountant / Auditor,A professional accountant who audits financial statements.,Ο ισολογισμός πρέπει να ελεγχθεί και να υπογραφεί από ορκωτό λογιστή.,The balance sheet must be audited and signed by a certified public accountant.,,C1,Business and Tax
2026-04-08,Είναι πολύ νόστιμο,It is very tasty,Complimenting the food.,Έφτιαξε μια μακαρονάδα που είναι πολύ νόστιμη.,He made a pasta dish that is very tasty.,A great compliment for the cook.,A1,Food and Eating
2026-04-08,Ανεβήκαμε στον Λυκαβηττό με το τελεφερίκ για να δούμε όλη την Αθήνα.,We went up Lycabettus with the cable car to see all of Athens.,A popular way to get the best panoramic view of the capital.,"Βαριόμασταν να περπατήσουμε, οπότε ανεβήκαμε στον Λυκαβηττό με το τελεφερίκ για να δούμε όλη την Αθήνα.","We were too lazy to walk, so we went up Lycabettus with the cable car to see all of Athens.",,B1,Sightseeing in Greece
2026-04-08,Πρωταγωνιστικό δίδυμο,Leading duo,The two main actors sharing the spotlight.,Το πρωταγωνιστικό δίδυμο είχε απίστευτη χημεία στην οθόνη.,The leading duo had incredible chemistry on screen.,,C1,Movies and Cinema
2026-04-09,Καλησπέρα,Good evening,A common greeting used from late afternoon onwards. ,"Καλησπέρα, ένα τραπέζι για δύο, παρακαλώ.","Good evening, a table for two, please.",Switches from 'Καλημέρα' around 5 p.m. ,A1,Greetings
2026-04-09,"Είναι ρηχά εδώ, μπορείς να πατώσεις.","It's shallow here, you can touch the bottom.",Reassuring someone who isn't a confident swimmer.,"Μην φοβάσαι να μπεις, είναι ρηχά εδώ, μπορείς να πατώσεις.","Don't be afraid to go in, it's shallow here, you can touch the bottom.",,B1,Summer and Beach
2026-04-09,Στο στόχαστρο,In the crosshairs / Targeted,"Means that someone or something is being targeted for criticism, investigation, or attack.",Στο στόχαστρο της αντιπολίτευσης βρέθηκε ο υπουργός Οικονομικών.,The Minister of Finance found himself in the crosshairs of the opposition.,"A strong metaphor borrowed from weaponry, used heavily in political reporting.",C1,The News
2026-04-10,Πλανήτης,Planet,A celestial body moving in an elliptical orbit round a star.,Ο Άρης είναι ο λεγόμενος κόκκινος πλανήτης.,Mars is the so-called red planet.,,A2,Space and Astronomy
2026-04-10,Το Ναυάγιο στη Ζάκυνθο είναι πιο εντυπωσιακό από κοντά.,The Shipwreck in Zakynthos is more impressive up close.,Reacting to seeing the famous postcard beach in person.,"Το είχα δει σε φωτογραφίες, αλλά το Ναυάγιο στη Ζάκυνθο είναι πιο εντυπωσιακό από κοντά.","I had seen it in photos, but the Shipwreck in Zakynthos is more impressive up close.",,B1,Sightseeing in Greece
2026-04-10,Προσσελήνωση,Moon landing,The arrival of a spacecraft on the surface of the Moon.,Η πρώτη επανδρωμένη προσσελήνωση έγινε το 1969.,The first manned moon landing took place in 1969.,,C1,Space and Astronomy
2026-04-11,Μην πετάτε σκουπίδια στην παραλία.,Don't throw trash on the beach.,An important rule for keeping the environment clean.,"Πρέπει να προστατεύουμε το περιβάλλον, μην πετάτε σκουπίδια στην παραλία.","We must protect the environment, don't throw trash on the beach.",,A2,Summer and Beach
2026-04-11,Είναι κελεπούρι,He/She is a catch,"Used to describe a partner who has great qualities (good job, character, looks).","Μην τον αφήσεις να φύγει, το παιδί είναι κελεπούρι.","Don't let him go, the guy is a catch.",Originally a Turkish loanword meaning a bargain or great find.,B1,Romantic gossip
2026-04-11,Μικροβαρύτητα,Microgravity,A condition in which people or objects appear to be weightless.,Τα πειράματα σε συνθήκες μικροβαρύτητας δίνουν νέα ιατρικά δεδομένα.,Experiments in microgravity conditions provide new medical data.,,C2,Space and Astronomy
2026-04-12,Ξέρεις να μαγειρεύεις;,Do you know how to cook?,Asking about someone's culinary skills.,Ο νέος μου συγκάτοικος ξέρει να μαγειρεύει πολύ καλά.,My new roommate knows how to cook very well.,,A2,Food and Eating
2026-04-12,Η αρτηριακή σας πίεση είναι ανεβασμένη,Your blood pressure is elevated,The doctor's observation after measuring your blood pressure.,Η αρτηριακή σας πίεση είναι ελαφρώς ανεβασμένη σήμερα.,Your blood pressure is slightly elevated today.,Πίεση' in a medical context almost always refers to blood pressure.,B1,Seeing the Doctor
2026-04-12,Αποκύημα της φαντασίας,Figment of the imagination,Often used in psychological thrillers where events are not real.,Στο τέλος αποκαλύπτεται ότι όλα ήταν αποκύημα της φαντασίας του.,"In the end, it is revealed that everything was a figment of his imagination.",,C2,Movies and Cinema
2026-04-13,Το μαγιό μου είναι ακόμα βρεγμένο.,My swimsuit is still wet.,A reason why someone might not want to sit in the car or on a towel just yet.,"Δεν μπορώ να μπω στο αυτοκίνητο, το μαγιό μου είναι ακόμα βρεγμένο.","I can't get in the car, my swimsuit is still wet.",,A1,Summer and Beach
2026-04-13,Πλήρης απασχόληση,Full-time employment,Working the standard number of hours (usually 40 per week).,Ψάχνω για δουλειά πλήρους απασχόλησης με ασφάλιση.,I am looking for a full-time job with insurance.,,B1,Office and Work
2026-04-13,Ανάθεση αρμοδιοτήτων,Delegation of duties/responsibilities,The assignment of authority to another person to carry out specific activities.,Η σωστή ανάθεση αρμοδιοτήτων είναι το κλειδί για την αποτελεσματική διοίκηση.,Proper delegation of responsibilities is the key to effective management.,,C1,Business and Tax
2026-04-14,Το νερό στο θερμός διατηρείται παγωμένο.,The water in the thermos stays ice cold.,Talking about keeping supplies fresh.,"Ευτυχώς που το φέραμε, το νερό στο θερμός διατηρείται παγωμένο.","Good thing we brought it, the water in the thermos stays ice cold.",,A2,Camping
2026-04-14,Έχει μπαλκόνι ή βεράντα;,Does it have a balcony or a veranda?,Asking about outdoor space.,Είναι σημαντικό για εμένα να υπάρχει εξωτερικός χώρος. Το διαμέρισμα έχει μπαλκόνι ή βεράντα;,It's important for me to have an outdoor space. Does the apartment have a balcony or a veranda?,,B1,Renting a home
2026-04-14,Ουράνιο σώμα,Celestial body,Any natural body outside of the Earth's atmosphere.,"Ο Ήλιος, η Σελήνη και οι πλανήτες είναι ουράνια σώματα.","The Sun, the Moon, and the planets are celestial bodies.",,C1,Space and Astronomy
2026-04-15,Θα βγούμε το Σάββατο,We will go out on Saturday,Announcing future plans.,Μου ζήτησε να βγούμε και θα βγούμε το Σάββατο.,She asked me out and we will go out on Saturday.,Uses the simple future tense.,A2,Romantic Gossip
2026-04-15,Υπάρχουν παρενέργειες από αυτό το φάρμακο;,Are there side effects from this medication?,A patient asking about the potential negative effects of a prescribed drug.,Υπάρχουν παρενέργειες από αυτό το φάρμακο; Μήπως φέρνει υπνηλία;,Are there side effects from this medication? Does it cause drowsiness?,Crucial question for managing expectations with new treatments.,B2,Seeing the Doctor
2026-04-15,Πίσω από τις κάμερες,Behind the cameras / Behind the scenes,The production process or the off-screen reality of making a film.,Η ένταση πίσω από τις κάμερες ήταν γνωστή σε όλο το συνεργείο.,The tension behind the cameras was known to the entire crew.,,C1,Movies and Cinema
2026-04-16,Γη,Earth,The planet on which we live.,Η Γη είναι ο τρίτος πλανήτης από τον Ήλιο.,Earth is the third planet from the Sun.,,A1,Space and Astronomy
2026-04-16,Το φεγγάρι είναι το μάτι της νύχτας.,The moon is the eye of the night.,"Aeschylus used this phrase, which personifies the moon as a watchful, silent observer in the darkness. It gives the moon a sense of consciousness and presence. ","Περπατούσαμε σιωπηλοί κάτω από το φεγγάρι, το μάτι της νύχτας.","We walked in silence under the moon, the eye of the night.",Evokes a feeling of being watched over or accompanied by the moon during a nighttime walk.,B2,Poetry
2026-04-16,Κεφάλαιο κίνησης,Working capital,The capital of a business which is used in its day-to-day trading operations.,Η επιχείρηση χρειάζεται άμεσα δάνειο για να ενισχύσει το κεφάλαιο κίνησής της.,The business urgently needs a loan to boost its working capital.,,C2,Business and Tax
2026-04-17,Έπιασα ένα καβουράκι στα βράχια.,I caught a little crab on the rocks.,A fun discovery while exploring the rocky parts of the beach.,"Κοίτα τι βρήκα, έπιασα ένα καβουράκι στα βράχια!","Look what I found, I caught a little crab on the rocks!",,A2,Summer and Beach
2026-04-17,Ξενύχτησα διαβάζοντας για το διαγώνισμα.,I pulled an all-nighter studying for the test.,When a student stays up very late to prepare for an exam.,"Είμαι πτώμα σήμερα, ξενύχτησα διαβάζοντας για το διαγώνισμα Ιστορίας.","I'm dead tired today, I pulled an all-nighter studying for the History test.",,B1,School and Education
2026-04-17,Το πλοίο έχει απαγορευτικό απόπλου.,The ship is forbidden from sailing (due to weather).,"A formal announcement meaning that due to bad weather (usually strong winds), the port authority has forbidden ships from leaving the port.",Μόλις άκουσα στις ειδήσεις ότι το πλοίο έχει απαγορευτικό απόπλου. Δεν θα ταξιδέψουμε σήμερα.,I just heard on the news that the ship is forbidden from sailing. We won't be travelling today.,"Απαγορευτικό' is a noun here, meaning 'prohibition'.",C1,Sea Travel
2026-04-18,Έχει πολύ αλάτι,It has a lot of salt / It's salty,Complaining or commenting on the seasoning.,"Η σούπα είναι καλή, αλλά έχει πολύ αλάτι.","The soup is good, but it has a lot of salt.",,A2,Food and Eating
2026-04-18,"Το ποτάμι, μια ασημένια φλέβα στη γη.","The river, a silver vein in the earth.","This metaphor compares a winding river, as seen from above, to a vein carrying life (water) through the body of the earth. 'Ασημένια' (silver) describes the way it reflects light.","Από το αεροπλάνο, το ποτάμι φαινόταν σαν μια ασημένια φλέβα στη γη.","From the airplane, the river looked like a silver vein in the earth.",A beautiful and anatomical metaphor for describing a river's course through a landscape.,B2,Poetry
2026-04-18,Νιώθω σουβλιές,"I feel sharp, stabbing pains","Describes a sudden, sharp, and intense pain, like being poked with a skewer ('σούβλα').",Νιώθω δυνατές σουβλιές στο στομάχι μετά το φαγητό.,I feel sharp stabbing pains in my stomach after eating.,"A highly descriptive, native-sounding way to explain acute pain.",C1,Seeing the Doctor
2026-04-19,Είμαι πολύ καλός στα Μαθηματικά αλλά δυσκολεύομαι στην Ιστορία.,I'm good at Math but struggle with History.,A typical way a student describes their academic strengths and weaknesses.,Είμαι πολύ καλός στα Μαθηματικά αλλά δυσκολεύομαι στην Ιστορία γιατί έχει πολλή αποστήθιση.,I'm good at Math but struggle with History because it has a lot of memorization.,,A2,School and Education
2026-04-19,Δορυφόρος,Satellite,An artificial body placed in orbit round the earth or another planet.,Η τηλεόραση εκπέμπει μέσω δορυφόρου.,The television broadcasts via satellite.,Can refer to both artificial satellites and natural ones (like moons).,B1,Space and Astronomy
2026-04-19,Κινηματογραφική γλώσσα,Cinematic language,The methods and conventions by which movies communicate with the audience.,Ο Γκοντάρ αποδόμησε την παραδοσιακή κινηματογραφική γλώσσα.,Godard deconstructed traditional cinematic language.,,C2,Movies and Cinema
2026-04-20,Η θάλασσα έχει πολλά φύκια σήμερα.,The sea has a lot of seaweed today.,Complaining about the water not being perfectly clear due to plants.,"Δεν μου αρέσει να κολυμπάω εδώ, η θάλασσα έχει πολλά φύκια σήμερα.","I don't like swimming here, the sea has a lot of seaweed today.",,A2,Summer and Beach
2026-04-20,Ηλιακό σύστημα,Solar system,The collection of planets and their moons in orbit round the sun.,Υπάρχουν οκτώ πλανήτες στο ηλιακό μας σύστημα.,There are eight planets in our solar system.,,B1,Space and Astronomy
2026-04-20,Κήρυξη πτώχευσης,Declaration of bankruptcy,The legal proceeding involving a person or business that is unable to repay outstanding debts.,"Μετά από χρόνια ζημιών, η βιομηχανία προχώρησε σε κήρυξη πτώχευσης.","After years of losses, the industry proceeded with a declaration of bankruptcy.",,C2,Business and Tax
2026-04-21,Μην κολυμπάς με γεμάτο στομάχι.,Don't swim with a full stomach.,Standard safety advice after eating.,"Μόλις φάγαμε, περίμενε λίγο και μην κολυμπάς με γεμάτο στομάχι.","We just ate, wait a bit and don't swim with a full stomach.",,A2,Summer and Beach
2026-04-21,Στήσαμε τη σκηνή κάτω από τον παχύ ίσκιο ενός πεύκου.,We pitched the tent under the thick shade of a pine tree.,Finding the ideal spot to avoid the morning sun.,"Για να μην ξυπνήσουμε από τη ζέστη, στήσαμε τη σκηνή κάτω από τον παχύ ίσκιο ενός πεύκου.","So we don't wake up from the heat, we pitched the tent under the thick shade of a pine tree.",,B2,Camping
2026-04-21,Μου ανέβηκε το αίμα στο κεφάλι,My blood went up to my head,Means 'it made my blood boil' or 'I became very angry'. ,"Όταν άκουσα τι είπε, μου ανέβηκε το αίμα στο κεφάλι.","When I heard what he said, my blood went up to my head.",Expresses intense anger.,C1,Colloquial expressions
2026-04-22,Καλή όρεξη!,Enjoy your meal!,Said before starting to eat.,Το φαγητό είναι έτοιμο! Καλή όρεξη!,The food is ready! Enjoy your meal!,,A2,Eating and drinking
2026-04-22,Μπορώ να έχω μια κουβέρτα / ένα μαξιλάρι;,Can I have a blanket / a pillow?,A common request made to a flight attendant.,"Συγγνώμη, θα μπορούσα να έχω μια κουβέρτα; Κάνει λίγο κρύο.","Excuse me, could I have a blanket? It's a bit cold.",,B1,Air Travel
2026-04-22,Συλλογική σύμβαση εργασίας,Collective labor agreement,A written contract negotiated through collective bargaining for employees.,Τα συνδικάτα πιέζουν για την υπογραφή νέας συλλογικής σύμβασης εργασίας.,The unions are pushing for the signing of a new collective labor agreement.,,C2,Business and Tax
2026-04-23,Το Μουσείο της Ακρόπολης είναι από τα καλύτερα στον κόσμο.,The Acropolis Museum is one of the best in the world.,A common and accurate praise for the modern museum in Athens.,"Η αρχιτεκτονική είναι υπέροχη, το Μουσείο της Ακρόπολης είναι από τα καλύτερα στον κόσμο.","The architecture is wonderful, the Acropolis Museum is one of the best in the world.",,A2,Sightseeing in Greece
2026-04-23,Ο ουρανός κεντημένος με αστέρια.,The sky embroidered with stars.,"This metaphor transforms the night sky into a piece of dark fabric and the stars into bright, decorative thread. 'Κεντημένος' (embroidered) implies artistry and delicate beauty.","Στο βουνό, μακριά από τα φώτα, ο ουρανός ήταν κεντημένος με αστέρια.","On the mountain, far from the lights, the sky was embroidered with stars.","A highly visual and artistic way to describe a very clear, starry night.",B2,Poetry
2026-04-23,Η πτήση είναι υπεράριθμη (έχει overbooking).,The flight is overbooked.,This happens when the airline sells more tickets than there are seats.,Μας ενημέρωσαν στην πύλη ότι η πτήση είναι υπεράριθμη και ψάχνουν για εθελοντές που θα ταξιδέψουν αύριο.,They informed us at the gate that the flight is overbooked and they are looking for volunteers to travel tomorrow.,The English word 'overbooking' is commonly used in Greek.,C1,Air Travel
2026-04-24,Τα φτιάξαμε,We started dating,Literally 'we fixed them'. Used when two people officially become a couple.,"Επιτέλους, μετά από μήνες που μιλούσαν, τα φτιάξανε.","Finally, after months of talking, they started dating.",Very common everyday phrase for 'getting together'.,A2,Romantic gossip
2026-04-24,Είναι καυτερό/πικάντικο;,Is it hot/spicy?,Use this to ask about the spice level of a dish. 'Καυτερό' is more common for 'hot'.,Θα ήθελα να παραγγείλω το σπετσοφάι. Είναι πολύ καυτερό;,I would like to order the spetsofai. Is it very spicy?,"Traditional Greek food is generally not very spicy, but it's always good to check if you are sensitive to heat.",B1,Eating and drinking
2026-04-24,Προτείνω συντηρητική αγωγή,I recommend conservative treatment,A doctor's suggestion to treat a condition with medication or physical therapy rather than surgery.,"Προς το παρόν, προτείνω συντηρητική αγωγή με φυσικοθεραπείες.","For now, I recommend conservative treatment with physical therapy.",Often used in orthopedics to avoid invasive procedures.,C1,Seeing the Doctor
2026-04-25,Είναι κρύο,It is cold,Complaining that hot food has cooled down.,Μπορείτε να το ζεστάνετε; Είναι κρύο.,Can you heat it up? It is cold.,,A1,Food and Eating
2026-04-25,Πιάσε τις μπανέλες για να σηκώσουμε τη σκηνή.,Grab the poles so we can raise the tent.,Μπανέλες' are the flexible tent poles used to give the tent its structure.,Ένωσε τα κομμάτια και πιάσε τις μπανέλες για να σηκώσουμε τη σκηνή.,Connect the pieces and grab the poles so we can raise the tent.,,B2,Camping
2026-04-25,Η φύση δεν κάνει άλματα.,Nature does not make leaps.,"An idea found in the writings of Aristotle and Carl Linnaeus ('Natura non facit saltus'). It expresses the principle that natural processes are gradual and continuous, without sudden jumps. ",Η εξέλιξη είναι μια αργή διαδικασία· η φύση δεν κάνει άλματα.,Evolution is a slow process; nature does not make leaps.,"A philosophical point to make about growth, change, or evolution, emphasizing patience and gradual development.",C1,Poetry
2026-04-26,Φάγαμε κονσέρβες και παξιμάδια για βραδινό.,We ate canned food and rusks for dinner.,Typical easy camping food.,"Δεν είχαμε όρεξη να μαγειρέψουμε, οπότε φάγαμε κονσέρβες και παξιμάδια για βραδινό.","We didn't feel like cooking, so we ate canned food and rusks for dinner.",,A2,Camping
2026-04-26,Σήμερα γράφουμε απροειδοποίητο τεστ.,Today we are taking a pop quiz.,An unannounced test that usually causes panic in the classroom.,"Κρύψτε τα βιβλία σας, σήμερα γράφουμε απροειδοποίητο τεστ στην Ιστορία.","Hide your books, today we are taking a pop quiz in History.",,B1,School and Education
2026-04-26,Το συμβόλαιο είναι ηλεκτρονικό;,Is the contract electronic?,Rental agreements in Greece must be declared online via the Taxisnet platform.,Η διαδικασία της ενοικίασης ολοκληρώνεται με ιδιωτικό συμφωνητικό ή το συμβόλαιο δηλώνεται ηλεκτρονικά στο Taxisnet;,Is the rental process completed with a private agreement or is the contract declared electronically on Taxisnet?,,C1,Renting a home
2026-04-27,Δεν σηκώνει το τηλέφωνο,He/She doesn't pick up the phone,Complaining about being ignored.,"Τον παίρνω, αλλά δεν σηκώνει το τηλέφωνο.","I am calling him, but he doesn't pick up the phone.",Literally 'doesn't lift the phone'.,A2,Romantic Gossip
2026-04-27,Πήρα τον έλεγχο τριμήνου και έχω μόνο εικοσάρια!,I got my term report card and I have straight 20s (As)!,"In Greek middle and high schools, grades are out of 20. 20 is the highest mark.","Πήρα τον έλεγχο τριμήνου και έχω μόνο εικοσάρια, οπότε οι γονείς μου χάρηκαν.","I got my term report card and I have straight 20s, so my parents were happy.",,B1,School and Education
2026-04-27,"Η ισορροπία των γεύσεων σε αυτό το πιάτο είναι εξαιρετική, ειδικά η οξύτητα που αναδεικνύει τα υπόλοιπα υλικά.","The balance of flavors in this dish is excellent, especially the acidity which highlights the other ingredients.","Sophisticated praise for the food, demonstrating a deep vocabulary related to gastronomy and the ability to form complex sentences.","Συγχαρητήρια στον σεφ. Η ισορροπία των γεύσεων σε αυτό το πιάτο είναι εξαιρετική, ειδικά η οξύτητα που αναδεικνύει τα υπόλοιπα υλικά.","Congratulations to the chef. The balance of flavors in this dish is excellent, especially the acidity which highlights the other ingredients.",This is the kind of compliment a food critic would make and will certainly be impressive to the restaurant staff.,C2,Eating and drinking
2026-04-28,Χωρίς κρεμμύδι,Without onion,Customizing your food order.,"Για εκείνη μία πίτα κοτόπουλο, αλλά χωρίς κρεμμύδι.","For her, a chicken pita, but without onion.",Very common modification for souvlaki.,A1,Food and Eating
2026-04-28,Σφοδρή πολιτική σύγκρουση,Fierce political clash,Describes an intense argument or debate between political parties or figures.,Αναμένεται σφοδρή πολιτική σύγκρουση στη Βουλή για το νέο νομοσχέδιο.,A fierce political clash is expected in Parliament over the new bill.,Typical vocabulary for parliamentary reporting.,B2,The News
2026-04-28,Ρήτρα μη ανταγωνισμού,Non-compete clause,A clause stating an employee must not enter into competition with the employer after employment ends.,Το συμβόλαιό του περιλαμβάνει αυστηρή ρήτρα μη ανταγωνισμού για δύο χρόνια.,His contract includes a strict non-compete clause for two years.,,C2,Business and Tax
2026-04-29,Δεν είναι για σένα,He/She is not for you,Giving advice to a friend to move on.,"Ξέχνα την, αυτή δεν είναι για σένα.","Forget her, she is not for you.",A gentle way to say someone is a bad match.,A2,Romantic Gossip
2026-04-29,Το άγχος των Πανελληνίων είναι τεράστιο για τους μαθητές Λυκείου.,The stress of the Panhellenics is huge for high school students.,Acknowledging the immense pressure Greek seniors face during their final exams.,Το άγχος των Πανελληνίων είναι τεράστιο για τους μαθητές Λυκείου και τις οικογένειές τους.,The stress of the Panhellenics is huge for high school students and their families.,,B2,School and Education
2026-04-29,Ρευστότητα,Liquidity,The availability of liquid assets to a market or company.,Η εταιρεία αντιμετωπίζει σοβαρό πρόβλημα ρευστότητας και δεν μπορεί να πληρώσει τους προμηθευτές.,The company faces a serious liquidity problem and cannot pay its suppliers.,,C1,Business and Tax
2026-04-30,Είναι ξινό,It is sour,Describing taste.,Αυτό το λεμόνι είναι πολύ ξινό.,This lemon is very sour.,,A1,Food and Eating
2026-04-30,Τα παιδιά αποφάσισαν να κάνουν κοπάνα από την πρώτη ώρα.,The kids decided to skip the first period.,Κάνω κοπάνα' is the universal Greek slang for skipping school or playing truant.,"Επειδή δεν είχαν διαβάσει, τα παιδιά αποφάσισαν να κάνουν κοπάνα από την πρώτη ώρα.","Because they hadn't studied, the kids decided to skip the first period.",,B1,School and Education
2026-04-30,Χρειάζεται να κάνω εισαγωγή στο νοσοκομείο;,Do I need to be admitted to the hospital?,A patient asking if their condition is severe enough to require hospitalization.,Τα συμπτώματα είναι έντονα. Χρειάζεται να κάνω εισαγωγή στο νοσοκομείο;,The symptoms are severe. Do I need to be admitted to the hospital?,Εισαγωγή' in a medical context means hospital admission.,C1,Seeing the Doctor
2026-05-01,Χαθήκαμε στα σοκάκια της Μεσαιωνικής Πόλης της Ρόδου.,We got lost in the alleys of the Medieval City of Rhodes.,A romantic or frustrating mishap in the labyrinthine old town.,Το GPS δεν έπιανε και χαθήκαμε στα σοκάκια της Μεσαιωνικής Πόλης της Ρόδου.,The GPS wasn't working and we got lost in the alleys of the Medieval City of Rhodes.,,A2,Sightseeing in Greece
2026-05-01,Η Ερμούπολη στη Σύρο έχει αρχοντική ομορφιά.,Ermoupoli in Syros has a noble beauty.,Acknowledging the neoclassical architecture of the Cycladic capital.,"Με τα νεοκλασικά της κτίρια, η Ερμούπολη στη Σύρο έχει αρχοντική ομορφιά.","With its neoclassical buildings, Ermoupoli in Syros has a noble beauty.",,B2,Sightseeing in Greece
2026-05-01,Μήπως γνωρίζετε αν υπάρχει κάποια παράκαμψη;,Do you happen to know if there is a detour?,"Asking about route changes, often due to roadworks or events.",Ο δρόμος μπροστά είναι κλειστός. Μήπως γνωρίζετε αν υπάρχει κάποια παράκαμψη που ακολουθεί το λεωφορείο;,The road ahead is closed. Do you happen to know if there is a detour the bus is following?,Παράκαμψη' is a key word for 'detour' or 'diversion'.,C1,City Transport
2026-05-02,Να φέρω κάτι;,Should I bring something?,Asking a host if you should bring food/drinks.,Ευχαριστώ για την πρόσκληση! Να φέρω κάτι;,Thanks for the invite! Should I bring something?,It is polite to bring wine or a dessert when invited over.,A2,Food and Eating
